Area,Date,Category,Subcategory,Variable,Unit,Value
Argentina,2019-05-01,Electricity generation,Aggregate fuel,Fossil,%,58.09
Argentina,2019-05-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,57.32
Argentina,2019-05-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,30.33
Argentina,2019-05-01,Electricity generation,Aggregate fuel,Renewables,%,33.87
Argentina,2019-05-01,Electricity generation,Aggregate fuel,Wind and Solar,%,3.54
Argentina,2019-05-01,Electricity generation,Fuel,Bioenergy,%,0.38
Argentina,2019-05-01,Electricity generation,Fuel,Coal,%,0.77
Argentina,2019-05-01,Electricity generation,Fuel,Gas,%,55.6
Argentina,2019-05-01,Electricity generation,Fuel,Hydro,%,29.95
Argentina,2019-05-01,Electricity generation,Fuel,Nuclear,%,8.04
Argentina,2019-05-01,Electricity generation,Fuel,Other Fossil,%,1.72
Argentina,2019-05-01,Electricity generation,Fuel,Solar,%,0.38
Argentina,2019-05-01,Electricity generation,Fuel,Wind,%,3.16
Argentina,2019-06-01,Electricity generation,Aggregate fuel,Clean,%,38.89
Argentina,2019-06-01,Electricity generation,Aggregate fuel,Fossil,%,61.11
Argentina,2019-06-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,59.82
Argentina,2019-06-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,27.92
Argentina,2019-06-01,Electricity generation,Aggregate fuel,Renewables,%,32.07
Argentina,2019-06-01,Electricity generation,Aggregate fuel,Wind and Solar,%,4.15
Argentina,2019-06-01,Electricity generation,Fuel,Bioenergy,%,0.55
Argentina,2019-06-01,Electricity generation,Fuel,Coal,%,1.29
Argentina,2019-06-01,Electricity generation,Fuel,Gas,%,58.25
Argentina,2019-06-01,Electricity generation,Fuel,Hydro,%,27.37
Argentina,2019-06-01,Electricity generation,Fuel,Nuclear,%,6.82
Argentina,2019-06-01,Electricity generation,Fuel,Other Fossil,%,1.57
Argentina,2019-06-01,Electricity generation,Fuel,Solar,%,0.37
Argentina,2019-06-01,Electricity generation,Fuel,Wind,%,3.78
Argentina,2019-07-01,Electricity generation,Aggregate fuel,Clean,%,36.13
Argentina,2019-07-01,Electricity generation,Aggregate fuel,Fossil,%,63.88
Argentina,2019-07-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,61.44
